"Datum" "Close_google" "Close_fb" "Close_apple"
"1" "2016-06-07" 716.650024 117.760002 99.029999
"2" "2016-06-08" 728.280029 118.389999 98.940002
"3" "2016-06-09" 728.580017 118.559998 99.650002
"4" "2016-06-10" 719.409973 116.620003 98.830002
"5" "2016-06-13" 718.359985 113.949997 97.339996
"6" "2016-06-14" 718.27002 114.940002 97.459999
"7" "2016-06-15" 718.919983 114.599998 97.139999
"8" "2016-06-16" 710.359985 114.389999 97.550003
"9" "2016-06-17" 691.719971 113.019997 95.330002
"10" "2016-06-20" 693.710022 113.370003 95.099998
"11" "2016-06-21" 695.940002 114.379997 95.910004
"12" "2016-06-22" 697.460022 113.910004 95.550003
"13" "2016-06-23" 701.869995 115.080002 96.099998
"14" "2016-06-24" 675.219971 112.080002 93.400002
"15" "2016-06-27" 668.26001 108.970001 92.040001
"16" "2016-06-28" 680.039978 112.699997 93.589996
"17" "2016-06-29" 684.109985 114.160004 94.400002
"18" "2016-06-30" 692.099976 114.279999 95.599998
"19" "2016-07-01" 699.210022 114.190002 95.889999
"20" "2016-07-05" 694.950012 114.199997 94.989998
"21" "2016-07-06" 697.77002 116.699997 95.529999
"22" "2016-07-07" 695.359985 115.849998 95.940002
"23" "2016-07-08" 705.630005 117.239998 96.68
"24" "2016-07-11" 715.090027 117.870003 96.980003
"25" "2016-07-12" 720.640015 117.93 97.419998
"26" "2016-07-13" 716.97998 116.779999 96.870003
"27" "2016-07-14" 720.950012 117.290001 98.790001
"28" "2016-07-15" 719.849976 116.860001 98.779999
"29" "2016-07-18" 733.780029 119.370003 99.830002
"30" "2016-07-19" 736.960022 120.610001 99.870003
"31" "2016-07-20" 741.190002 121.919998 99.959999
"32" "2016-07-21" 738.630005 120.610001 99.43
"33" "2016-07-22" 742.73999 121 98.660004
"34" "2016-07-25" 739.77002 121.629997 97.339996
"35" "2016-07-26" 738.419983 121.220001 96.669998
"36" "2016-07-27" 741.77002 123.339996 102.949997
"37" "2016-07-28" 745.909973 125 104.339996
"38" "2016-07-29" 768.789978 123.940002 104.209999
"39" "2016-08-01" 772.880005 124.309998 106.050003
